bank,fiscal_year,sic_code,D_genai,D_ai,genai_intensity,ai_intensity,ln_Y_revenue,ln_Y_nii,ln_L,ln_K,tier1_ratio,ln_assets
Raymond James,2019,6211,0,0,0.0,0.0,,,,,,
Raymond James,2020,6211,0,0,0.0,0.0,,,,,,
Raymond James,2021,6211,0,0,0.0,0.0,,,,,,
Raymond James,2022,6211,0,0,0.0,0.0,,,,,,
Raymond James,2023,6211,0,0,0.0,0.0,,,,,,
Raymond James,2024,6211,0,0,0.0,0.0,,,,,,
Raymond James,2025,6211,0,0,0.0,0.0,,,,,,
Regions Financial,2018,6021,0,0,0.0,0.0,,,,,,
Regions Financial,2019,6021,0,0,0.0,0.0,,,,,,
Regions Financial,2020,6021,0,0,0.0,0.0,,,,,,
Regions Financial,2021,6021,0,0,0.0,0.0,,,,,,
Regions Financial,2022,6021,0,0,0.0,0.0,,,,,,
Regions Financial,2023,6021,0,0,0.0,0.0,,,,,,
Regions Financial,2024,6021,0,0,0.0,0.0,,,,,,
State Street,2018,6022,0,0,0.0,0.0,,,,,,
State Street,2019,6022,0,0,0.0,0.0,,,,,,
State Street,2020,6022,0,0,0.0,0.0,,,,,,
State Street,2021,6022,0,0,0.0,0.0,,,,,,
State Street,2022,6022,0,0,0.0,0.0,,,,,,
State Street,2023,6022,0,0,0.0,0.0,,,,,,
State Street,2024,6022,0,0,0.0,0.0,,,,,,
Stifel Financial,2018,6211,0,0,0.0,0.0,,,,,,
Stifel Financial,2019,6211,0,0,0.0,0.0,,,,,,
Stifel Financial,2020,6211,0,0,0.0,0.0,,,,,,
Stifel Financial,2021,6211,0,0,0.0,0.0,,,,,,
Stifel Financial,2022,6211,0,0,0.0,0.0,,,,,,
Stifel Financial,2023,6211,0,0,0.0,0.0,,,,,,
Stifel Financial,2024,6211,0,0,0.0,0.0,,,,,,
Synovus Financial,2018,6021,0,0,0.0,0.0,,,,,,
Synovus Financial,2019,6021,0,1,0.0,0.11035822279118017,,,,,,
Synovus Financial,2020,6021,0,0,0.0,0.0,,,,,,
Synovus Financial,2021,6021,0,0,0.0,0.0,,,,,,
Synovus Financial,2022,6021,0,0,0.0,0.0,,,,,,
Synovus Financial,2023,6021,0,1,0.0,0.34455827628979646,,,,,,
Synovus Financial,2024,6021,0,1,0.0,0.3353828954723309,,,,,,
Texas Capital Bancshares,2018,6021,0,0,0.0,0.0,,,,,,
Texas Capital Bancshares,2019,6021,0,0,0.0,0.0,,,,,,
Texas Capital Bancshares,2020,6021,0,0,0.0,0.0,,,,,,
Texas Capital Bancshares,2021,6021,0,0,0.0,0.0,,,,,,
Texas Capital Bancshares,2022,6021,0,0,0.0,0.0,,,,,,
Texas Capital Bancshares,2023,6021,0,0,0.0,0.0,,,,,,
Texas Capital Bancshares,2024,6021,0,0,0.0,0.0,,,,,,
Truist Financial,2018,6021,0,0,0.0,0.0,,,,,,
Truist Financial,2019,6021,0,0,0.0,0.0,9.778377741493284,9.231808278591423,10.997087299380693,13.067015558741337,9.9,13.067015558741337
Truist Financial,2020,6021,0,0,0.0,0.0,9.801233318497372,9.200593020521303,10.933106969717286,13.140835708484028,10.1,13.140835708484028
Truist Financial,2021,6021,0,0,0.0,0.0,9.821789308551622,9.178643285232928,10.896739325546411,13.201603301394792,10.0,13.201603301394792
Truist Financial,2022,6021,0,0,0.0,0.0,10.065181141534115,9.553362539461128,10.858998997563564,13.227362827885969,9.0,13.227362827885969
Truist Financial,2023,6021,0,0,0.0,0.0,10.06343568035319,9.557611235839621,10.84819079884696,13.190674149647808,10.1,13.190674149647808
Truist Financial,2024,6021,0,0,0.0,0.0,10.085809109330082,9.581903928408666,10.819778284410283,13.199324418540456,10.3,13.199324418540456
UMB Financial,2018,6021,0,0,0.0,0.0,,,,,,
UMB Financial,2019,6021,0,0,0.0,0.0,,,,,,
UMB Financial,2020,6021,0,0,0.0,0.0,,,,,,
UMB Financial,2021,6021,0,0,0.0,0.0,,,,,,
UMB Financial,2022,6021,0,0,0.0,0.0,,,,,,
UMB Financial,2023,6021,0,0,0.0,0.0,,,,,,
UMB Financial,2024,6021,0,0,0.0,0.0,,,,,,
US Bancorp,2018,6021,0,0,0.0,0.0,,,,,,
US Bancorp,2019,6021,0,0,0.0,0.0,10.039546996943224,9.46568002150671,11.156250521031495,13.113169240564385,9.1,13.113169240564385
US Bancorp,2020,6021,0,0,0.0,0.0,10.044335861123507,9.4136076932856,11.127262984158243,13.22470333576865,9.7,13.22470333576865
US Bancorp,2021,6021,0,0,0.0,0.0,10.03183679096379,9.437714959818209,11.127262984158243,13.259136509907684,9.7,13.259136509907684
US Bancorp,2022,6021,0,0,0.0,0.0,10.100081768616802,9.61413742298365,11.251560700835821,13.422179039229345,8.4,13.422179039229345
US Bancorp,2023,6021,0,0,0.0,0.0,10.263153020397368,9.71250862865099,11.251560700835821,13.405270568231353,10.0,13.405270568231353
US Bancorp,2024,6021,0,0,0.0,0.0,10.275051108968611,9.740968623038354,11.225243392518447,13.42984807715229,10.2,13.42984807715229
Valley National Bancorp,2018,6021,0,0,0.0,0.0,,,,,,
Valley National Bancorp,2019,6021,0,0,0.0,0.0,,,,,,
Valley National Bancorp,2020,6021,0,0,0.0,0.0,,,,,,
Valley National Bancorp,2021,6021,0,0,0.0,0.0,,,,,,
Valley National Bancorp,2022,6021,0,0,0.0,0.0,,,,,,
Valley National Bancorp,2023,6021,0,0,0.0,0.0,,,,,,
Valley National Bancorp,2024,6021,0,0,0.0,0.0,,,,,,
Webster Financial,2018,6021,0,0,0.0,0.0,,,,,,
Webster Financial,2019,6021,0,0,0.0,0.0,,,,,,
Webster Financial,2020,6021,0,0,0.0,0.0,,,,,,
Webster Financial,2021,6021,0,0,0.0,0.0,,,,,,
Webster Financial,2022,6021,0,0,0.0,0.0,,,,,,
Webster Financial,2023,6021,0,0,0.0,0.0,,,,,,
Webster Financial,2024,6021,0,0,0.0,0.0,,,,,,
Wells Fargo,2018,6021,0,0,0.0,0.0,,,,,,
Wells Fargo,2019,6021,0,0,0.0,0.0,11.351147437407406,10.766039897956801,12.467667383218636,14.47176291838347,11.1,14.47176291838347
Wells Fargo,2020,6021,0,0,0.0,0.0,11.18913250550609,10.587366919275157,12.500721642504859,14.486275617192023,11.6,14.486275617192023
Wells Fargo,2021,6021,0,0,0.0,0.0,11.270726507120859,10.485060507823594,12.426953639190124,14.482348670172897,11.4,14.482348670172897
Wells Fargo,2022,6021,0,0,0.0,0.0,11.20891073789755,10.708734985616958,12.382954433573763,14.44742042905303,10.6,14.44742042905303
Wells Fargo,2023,6021,0,0,0.0,0.0,11.321728639236905,10.866184657224439,12.332128037370552,14.474308500445037,11.4,14.474308500445037
Wells Fargo,2024,6021,0,0,0.0,0.0,11.33857207782545,10.87804719253426,12.301382825334498,14.498607402670718,11.6,14.498607402670718
Western Alliance,2018,6021,0,0,0.0,0.0,,,,,,
Western Alliance,2019,6021,0,0,0.0,0.0,,,,,,
Western Alliance,2020,6021,0,0,0.0,0.0,,,,,,
Western Alliance,2021,6021,0,0,0.0,0.0,,,,,,
Western Alliance,2022,6021,0,0,0.0,0.0,,,,,,
Western Alliance,2023,6021,0,0,0.0,0.0,,,,,,
Western Alliance,2024,6021,0,0,0.0,0.0,,,,,,
Wintrust Financial,2018,6021,0,0,0.0,0.0,,,,,,
Wintrust Financial,2019,6021,0,0,0.0,0.0,,,,,,
Wintrust Financial,2020,6021,0,0,0.0,0.0,,,,,,
Wintrust Financial,2021,6021,0,0,0.0,0.0,,,,,,
Wintrust Financial,2022,6021,0,0,0.0,0.0,,,,,,
Wintrust Financial,2023,6021,0,0,0.0,0.0,,,,,,
Wintrust Financial,2024,6021,0,0,0.0,0.0,,,,,,
Zions Bancorp,2018,6021,0,0,0.0,0.0,,,,,,
Zions Bancorp,2019,6021,0,0,0.0,0.0,,,,,,
Zions Bancorp,2020,6021,0,0,0.0,0.0,,,,,,
Zions Bancorp,2021,6021,0,0,0.0,0.0,,,,,,
Zions Bancorp,2022,6021,0,0,0.0,0.0,,,,,,
Zions Bancorp,2023,6021,0,0,0.0,0.0,,,,,,
Zions Bancorp,2024,6021,0,0,0.0,0.0,,,,,,
